keyword,provider,page,sample_scope,total,fit,adjacent,badcase,failed,badcase_rate
vacuum cleaner,xtb,103,common_depth_sample,50,2,8,40,0,80.0%
vacuum cleaner,xtb,104,common_depth_sample,50,1,7,42,0,84.0%
vacuum cleaner,xtb,105,common_depth_sample,50,4,4,42,0,84.0%
vacuum cleaner,xtb,191,common_depth_sample,50,1,10,39,0,78.0%
vacuum cleaner,xtb,192,common_depth_sample,50,6,4,40,0,80.0%
vacuum cleaner,xtb,193,common_depth_sample,50,4,5,41,0,82.0%
vacuum cleaner,xtb,194,common_depth_sample,50,2,4,44,0,88.0%
vacuum cleaner,xtb,195,common_depth_sample,50,1,3,46,0,92.0%
vacuum cleaner,xtb,196,common_depth_sample,50,5,5,40,0,80.0%
vacuum cleaner,xtb,197,common_depth_sample,50,4,5,41,0,82.0%
vacuum cleaner,xtb,198,common_depth_sample,50,2,3,45,0,90.0%
vacuum cleaner,xtb,199,common_depth_sample,50,1,3,46,0,92.0%
vacuum cleaner,xtb,200,common_depth_sample,50,4,4,42,0,84.0%
baby supplement,nox,1,common_depth_sample,50,2,12,36,0,72.0%
baby supplement,nox,2,common_depth_sample,50,1,7,42,0,84.0%
baby supplement,nox,3,common_depth_sample,36,0,10,26,0,72.2%
baby supplement,xtb,1,common_depth_sample,50,15,19,16,0,32.0%
baby supplement,xtb,2,common_depth_sample,50,11,16,23,0,46.0%
baby supplement,xtb,3,common_depth_sample,50,9,11,30,0,60.0%
pet food,nox,1,common_depth_sample,50,25,10,15,0,30.0%
pet food,nox,2,common_depth_sample,50,11,19,20,0,40.0%
pet food,nox,3,common_depth_sample,50,16,12,22,0,44.0%
pet food,nox,4,common_depth_sample,50,12,12,26,0,52.0%
pet food,nox,5,common_depth_sample,50,8,13,29,0,58.0%
pet food,nox,6,common_depth_sample,50,5,18,27,0,54.0%
pet food,nox,7,common_depth_sample,50,8,11,31,0,62.0%
pet food,nox,8,common_depth_sample,50,11,17,22,0,44.0%
pet food,nox,9,common_depth_sample,50,3,14,33,0,66.0%
pet food,nox,10,common_depth_sample,50,4,18,28,0,56.0%
pet food,nox,46,common_depth_sample,50,2,17,31,0,62.0%
pet food,nox,47,common_depth_sample,50,2,12,36,0,72.0%
pet food,nox,48,common_depth_sample,50,1,9,40,0,80.0%
pet food,nox,49,common_depth_sample,50,0,10,40,0,80.0%
pet food,nox,50,common_depth_sample,50,2,13,35,0,70.0%
pet food,nox,51,common_depth_sample,50,1,5,44,0,88.0%
pet food,nox,52,common_depth_sample,50,4,14,32,0,64.0%
pet food,nox,53,common_depth_sample,50,2,13,35,0,70.0%
pet food,nox,54,common_depth_sample,50,1,6,43,0,86.0%
pet food,nox,55,common_depth_sample,50,4,7,39,0,78.0%
pet food,nox,91,common_depth_sample,50,1,12,37,0,74.0%
pet food,nox,92,common_depth_sample,50,1,9,40,0,80.0%
pet food,nox,93,common_depth_sample,50,5,12,33,0,66.0%
pet food,nox,94,common_depth_sample,50,1,13,36,0,72.0%
pet food,nox,95,common_depth_sample,50,2,11,37,0,74.0%
pet food,nox,96,common_depth_sample,50,1,13,36,0,72.0%
pet food,nox,97,common_depth_sample,50,1,14,35,0,70.0%
pet food,nox,98,common_depth_sample,50,1,8,41,0,82.0%
pet food,nox,99,common_depth_sample,50,0,14,36,0,72.0%
pet food,nox,100,common_depth_sample,15,1,3,11,0,73.3%
pet food,xtb,1,common_depth_sample,50,30,11,9,0,18.0%
pet food,xtb,2,common_depth_sample,50,16,11,23,0,46.0%
pet food,xtb,3,common_depth_sample,50,17,11,22,0,44.0%
pet food,xtb,4,common_depth_sample,50,8,8,34,0,68.0%
pet food,xtb,5,common_depth_sample,50,11,11,28,0,56.0%
pet food,xtb,6,common_depth_sample,50,11,12,27,0,54.0%
pet food,xtb,7,common_depth_sample,50,4,12,34,0,68.0%
pet food,xtb,8,common_depth_sample,50,5,15,30,0,60.0%
pet food,xtb,9,common_depth_sample,50,6,15,29,0,58.0%
pet food,xtb,10,common_depth_sample,50,7,9,34,0,68.0%
pet food,xtb,46,common_depth_sample,50,2,7,41,0,82.0%
pet food,xtb,47,common_depth_sample,50,1,11,38,0,76.0%
pet food,xtb,48,common_depth_sample,50,6,8,36,0,72.0%
pet food,xtb,49,common_depth_sample,50,4,9,37,0,74.0%
pet food,xtb,50,common_depth_sample,50,2,8,40,0,80.0%
pet food,xtb,51,common_depth_sample,50,3,9,38,0,76.0%
pet food,xtb,52,common_depth_sample,50,5,12,33,0,66.0%
pet food,xtb,53,common_depth_sample,50,5,11,34,0,68.0%
pet food,xtb,54,common_depth_sample,50,2,6,42,0,84.0%
pet food,xtb,55,common_depth_sample,50,1,9,40,0,80.0%
pet food,xtb,91,common_depth_sample,50,1,7,42,0,84.0%
pet food,xtb,92,common_depth_sample,50,4,9,37,0,74.0%
pet food,xtb,93,common_depth_sample,50,1,8,41,0,82.0%
pet food,xtb,94,common_depth_sample,50,2,9,39,0,78.0%
pet food,xtb,95,common_depth_sample,50,2,4,44,0,88.0%
pet food,xtb,96,common_depth_sample,50,3,7,40,0,80.0%
pet food,xtb,97,common_depth_sample,50,4,14,32,0,64.0%
pet food,xtb,98,common_depth_sample,50,5,8,37,0,74.0%
pet food,xtb,99,common_depth_sample,50,4,11,35,0,70.0%
pet food,xtb,100,common_depth_sample,50,2,10,38,0,76.0%
